
========== Periférico Metropolitano ==========

========== Carretera Nacional ==========
Minuto   1 | Carretera Nacional | Tráfico:   1 veh/min | Variación:  -7 | Estado: Fluido
Minuto 187 | Carretera Nacional | Tráfico:  71 veh/min | Variación:  +2 | Estado: Colapsado
Minuto 187 | Periférico Metropolitano | Tráfico:  82 veh/min | Variación:  -1 | Estado: Colapsado
Minuto 188 | Carretera Nacional | Tráfico:  65 veh/min | Variación:  -6 | Estado: Colapsado
Minuto 188 | Avenida Central | Tráfico:  59 veh/min | Variación:  -3 | Estado: Congestionado
Minuto 188 | Periférico Metropolitano | Tráfico:  86 veh/min | Variación:  +4 | Estado: Colapsado
Minuto 189 | Carretera Nacional | Tráfico:  57 veh/min | Variación:  -8 | Estado: Congestionado
Minuto 189 | Avenida Central | Tráfico:  56 veh/min | Variación:  -3 | Estado: Congestionado
Minuto 189 | Periférico Metropolitano | Tráfico:  82 veh/min | Variación:  -4 | Estado: Colapsado
Minuto 190 | Carretera Nacional | Tráfico:  56 veh/min | Variación:  -1 | Estado: Congestionado
Minuto 190 | Avenida Central | Tráfico:  52 veh/min | Variación:  -4 | Estado: Congestionado
Minuto 190 | Periférico Metropolitano | Tráfico:  87 veh/min | Variación:  +5 | Estado: Colapsado
Minuto 191 | Avenida Central | Tráfico:  55 veh/min | Variación:  +3 | Estado: Congestionado
Minuto 191 | Carretera Nacional | Tráfico:  60 veh/min | Variación:  +4 | Estado: Congestionado
Minuto 191 | Periférico Metropolitano | Tráfico:  88 veh/min | Variación:  +1 | Estado: Colapsado
Minuto 192 | Carretera Nacional | Tráfico:  63 veh/min | Variación:  +3 | Estado: Colapsado
Minuto 192 | Avenida Central | Tráfico:  61 veh/min | Variación:  +6 | Estado: Colapsado
Minuto 192 | Periférico Metropolitano | Tráfico:  91 veh/min | Variación:  +3 | Estado: Colapsado
Minuto 193 | Periférico Metropolitano | Tráfico:  93 veh/min | Variación:  +2 | Estado: Colapsado
Minuto 193 | Avenida Central | Tráfico:  65 veh/min | Variación:  +4 | Estado: Colapsado
Minuto 193 | Carretera Nacional | Tráfico:  71 veh/min | Variación:  +8 | Estado: Colapsado
Minuto 194 | Carretera Nacional | Tráfico:  63 veh/min | Variación:  -8 | Estado: Colapsado
Minuto 194 | Periférico Metropolitano | Tráfico:  94 veh/min | Variación:  +1 | Estado: Colapsado
Minuto 194 | Avenida Central | Tráfico:  68 veh/min | Variación:  +3 | Estado: Colapsado
Minuto 195 | Carretera Nacional | Tráfico:  71 veh/min | Variación:  +8 | Estado: Colapsado
Minuto 195 | Avenida Central | Tráfico:  65 veh/min | Variación:  -3 | Estado: Colapsado
Minuto 195 | Periférico Metropolitano | Tráfico:  97 veh/min | Variación:  +3 | Estado: Colapsado
Minuto 196 | Carretera Nacional | Tráfico:  71 veh/min | Variación:  +0 | Estado: Colapsado
Minuto 196 | Avenida Central | Tráfico:  67 veh/min | Variación:  +2 | Estado: Colapsado
Minuto 196 | Periférico Metropolitano | Tráfico:  95 veh/min | Variación:  -2 | Estado: Colapsado
Minuto 197 | Carretera Nacional | Tráfico:  65 veh/min | Variación:  -6 | Estado: Colapsado
Minuto 197 | Avenida Central | Tráfico:  62 veh/min | Variación:  -5 | Estado: Colapsado
Minuto 197 | Periférico Metropolitano | Tráfico: 100 veh/min | Variación:  +8 | Estado: Colapsado
Minuto 198 | Carretera Nacional | Tráfico:  69 veh/min | Variación:  +4 | Estado: Colapsado
Minuto 198 | Avenida Central | Tráfico:  62 veh/min | Variación:  +0 | Estado: Colapsado
Minuto 198 | Periférico Metropolitano | Tráfico:  98 veh/min | Variación:  -2 | Estado: Colapsado
Minuto 199 | Carretera Nacional | Tráfico:  70 veh/min | Variación:  +1 | Estado: Colapsado
Minuto 199 | Avenida Central | Tráfico:  68 veh/min | Variación:  +6 | Estado: Colapsado
Minuto 199 | Periférico Metropolitano | Tráfico:  92 veh/min | Variación:  -6 | Estado: Colapsado
Minuto 200 | Avenida Central | Tráfico:  73 veh/min | Variación:  +5 | Estado: Colapsado
Minuto 200 | Periférico Metropolitano | Tráfico:  84 veh/min | Variación:  -8 | Estado: Colapsado
Minuto 200 | Carretera Nacional | Tráfico:  73 veh/min | Variación:  +3 | Estado: Colapsado
Minuto 201 | Carretera Nacional | Tráfico:  77 veh/min | Variación:  +4 | Estado: Colapsado
Minuto 201 | Periférico Metropolitano | Tráfico:  80 veh/min | Variación:  -4 | Estado: Colapsado
Minuto 201 | Avenida Central | Tráfico:  75 veh/min | Variación:  +2 | Estado: Colapsado
Minuto 202 | Avenida Central | Tráfico:  80 veh/min | Variación:  +5 | Estado: Colapsado
Minuto 202 | Carretera Nacional | Tráfico:  75 veh/min | Variación:  -2 | Estado: Colapsado
Minuto 202 | Periférico Metropolitano | Tráfico:  77 veh/min | Variación:  -3 | Estado: Colapsado
Minuto 203 | Periférico Metropolitano | Tráfico:  75 veh/min | Variación:  -2 | Estado: Colapsado
Minuto 203 | Avenida Central | Tráfico:  79 veh/min | Variación:  -1 | Estado: Colapsado
Minuto 203 | Carretera Nacional | Tráfico:  70 veh/min | Variación:  -5 | Estado: Colapsado
Minuto 204 | Avenida Central | Tráfico:  86 veh/min | Variación:  +7 | Estado: Colapsado
Minuto 204 | Periférico Metropolitano | Tráfico:  69 veh/min | Variación:  -6 | Estado: Colapsado
Minuto 204 | Carretera Nacional | Tráfico:  78 veh/min | Variación:  +8 | Estado: Colapsado
Minuto 205 | Avenida Central | Tráfico:  79 veh/min | Variación:  -7 | Estado: Colapsado
Minuto 205 | Carretera Nacional | Tráfico:  86 veh/min | Variación:  +8 | Estado: Colapsado
Minuto 205 | Periférico Metropolitano | Tráfico:  77 veh/min | Variación:  +8 | Estado: Colapsado
Minuto 206 | Avenida Central | Tráfico:  86 veh/min | Variación:  +7 | Estado: Colapsado
Minuto 206 | Periférico Metropolitano | Tráfico:  78 veh/min | Variación:  +1 | Estado: Colapsado
Minuto 206 | Carretera Nacional | Tráfico:  87 veh/min | Variación:  +1 | Estado: Colapsado
Minuto 207 | Avenida Central | Tráfico:  90 veh/min | Variación:  +4 | Estado: Colapsado
Minuto 207 | Periférico Metropolitano | Tráfico:  78 veh/min | Variación:  +0 | Estado: Colapsado
Minuto 207 | Carretera Nacional | Tráfico:  82 veh/min | Variación:  -5 | Estado: Colapsado
Minuto 208 | Avenida Central | Tráfico:  86 veh/min | Variación:  -4 | Estado: Colapsado
Minuto 208 | Carretera Nacional | Tráfico:  82 veh/min | Variación:  +0 | Estado: Colapsado
Minuto 208 | Periférico Metropolitano | Tráfico:  73 veh/min | Variación:  -5 | Estado: Colapsado
Minuto 209 | Periférico Metropolitano | Tráfico:  71 veh/min | Variación:  -2 | Estado: Colapsado
Minuto 209 | Carretera Nacional | Tráfico:  88 veh/min | Variación:  +6 | Estado: Colapsado
Minuto 209 | Avenida Central | Tráfico:  92 veh/min | Variación:  +6 | Estado: Colapsado
Minuto 210 | Avenida Central | Tráfico:  95 veh/min | Variación:  +3 | Estado: Colapsado
Minuto 210 | Periférico Metropolitano | Tráfico:  69 veh/min | Variación:  -2 | Estado: Colapsado
Minuto 210 | Carretera Nacional | Tráfico:  84 veh/min | Variación:  -4 | Estado: Colapsado
Minuto 211 | Periférico Metropolitano | Tráfico:  73 veh/min | Variación:  +4 | Estado: Colapsado
Minuto 211 | Avenida Central | Tráfico: 100 veh/min | Variación:  +8 | Estado: Colapsado
Minuto 211 | Carretera Nacional | Tráfico:  81 veh/min | Variación:  -3 | Estado: Colapsado
Minuto 212 | Carretera Nacional | Tráfico:  89 veh/min | Variación:  +8 | Estado: Colapsado
Minuto 212 | Avenida Central | Tráfico:  92 veh/min | Variación:  -8 | Estado: Colapsado
Minuto 212 | Periférico Metropolitano | Tráfico:  75 veh/min | Variación:  +2 | Estado: Colapsado
Minuto 213 | Carretera Nacional | Tráfico:  81 veh/min | Variación:  -8 | Estado: Colapsado
Minuto 213 | Periférico Metropolitano | Tráfico:  72 veh/min | Variación:  -3 | Estado: Colapsado
Minuto 213 | Avenida Central | Tráfico:  99 veh/min | Variación:  +7 | Estado: Colapsado
Minuto 214 | Avenida Central | Tráfico:  94 veh/min | Variación:  -5 | Estado: Colapsado
Minuto 214 | Periférico Metropolitano | Tráfico:  70 veh/min | Variación:  -2 | Estado: Colapsado
Minuto 214 | Carretera Nacional | Tráfico:  89 veh/min | Variación:  +8 | Estado: Colapsado
Minuto 215 | Avenida Central | Tráfico:  87 veh/min | Variación:  -7 | Estado: Colapsado
Minuto 215 | Periférico Metropolitano | Tráfico:  67 veh/min | Variación:  -3 | Estado: Colapsado
Minuto 215 | Carretera Nacional | Tráfico:  83 veh/min | Variación:  -6 | Estado: Colapsado
Minuto 216 | Periférico Metropolitano | Tráfico:  71 veh/min | Variación:  +4 | Estado: Colapsado
Minuto 216 | Carretera Nacional | Tráfico:  82 veh/min | Variación:  -1 | Estado: Colapsado
Minuto 216 | Avenida Central | Tráfico:  90 veh/min | Variación:  +3 | Estado: Colapsado
Minuto 217 | Avenida Central | Tráfico:  89 veh/min | Variación:  -1 | Estado: Colapsado
Minuto 217 | Periférico Metropolitano | Tráfico:  72 veh/min | Variación:  +1 | Estado: Colapsado
Minuto 217 | Carretera Nacional | Tráfico:  78 veh/min | Variación:  -4 | Estado: Colapsado
Minuto 218 | Periférico Metropolitano | Tráfico:  78 veh/min | Variación:  +6 | Estado: Colapsado
Minuto 218 | Avenida Central | Tráfico:  81 veh/min | Variación:  -8 | Estado: Colapsado
Minuto 218 | Carretera Nacional | Tráfico:  77 veh/min | Variación:  -1 | Estado: Colapsado
Minuto 219 | Carretera Nacional | Tráfico:  85 veh/min | Variación:  +8 | Estado: Colapsado
Minuto 219 | Periférico Metropolitano | Tráfico:  73 veh/min | Variación:  -5 | Estado: Colapsado
Minuto 219 | Avenida Central | Tráfico:  73 veh/min | Variación:  -8 | Estado: Colapsado
Minuto 220 | Carretera Nacional | Tráfico:  81 veh/min | Variación:  -4 | Estado: Colapsado
Minuto 220 | Periférico Metropolitano | Tráfico:  69 veh/min | Variación:  -4 | Estado: Colapsado
Minuto 220 | Avenida Central | Tráfico:  76 veh/min | Variación:  +3 | Estado: Colapsado
Minuto 221 | Carretera Nacional | Tráfico:  79 veh/min | Variación:  -2 | Estado: Colapsado
Minuto 221 | Periférico Metropolitano | Tráfico:  74 veh/min | Variación:  +5 | Estado: Colapsado
Minuto 221 | Avenida Central | Tráfico:  77 veh/min | Variación:  +1 | Estado: Colapsado
Minuto 222 | Avenida Central | Tráfico:  75 veh/min | Variación:  -2 | Estado: Colapsado
Minuto 222 | Periférico Metropolitano | Tráfico:  66 veh/min | Variación:  -8 | Estado: Colapsado
Minuto 222 | Carretera Nacional | Tráfico:  74 veh/min | Variación:  -5 | Estado: Colapsado
Minuto 223 | Carretera Nacional | Tráfico:  74 veh/min | Variación:  +0 | Estado: Colapsado
Minuto 223 | Avenida Central | Tráfico:  83 veh/min | Variación:  +8 | Estado: Colapsado
Minuto 223 | Periférico Metropolitano | Tráfico:  65 veh/min | Variación:  -1 | Estado: Colapsado
Minuto 224 | Periférico Metropolitano | Tráfico:  71 veh/min | Variación:  +6 | Estado: Colapsado
Minuto 224 | Carretera Nacional | Tráfico:  75 veh/min | Variación:  +1 | Estado: Colapsado
Minuto 224 | Avenida Central | Tráfico:  80 veh/min | Variación:  -3 | Estado: Colapsado
Minuto 225 | Periférico Metropolitano | Tráfico:  74 veh/min | Variación:  +3 | Estado: Colapsado
Minuto 225 | Avenida Central | Tráfico:  88 veh/min | Variación:  +8 | Estado: Colapsado
Minuto 225 | Carretera Nacional | Tráfico:  73 veh/min | Variación:  -2 | Estado: Colapsado
Minuto 226 | Avenida Central | Tráfico:  82 veh/min | Variación:  -6 | Estado: Colapsado
Minuto 226 | Periférico Metropolitano | Tráfico:  67 veh/min | Variación:  -7 | Estado: Colapsado
Minuto 226 | Carretera Nacional | Tráfico:  74 veh/min | Variación:  +1 | Estado: Colapsado
Minuto 227 | Avenida Central | Tráfico:  79 veh/min | Variación:  -3 | Estado: Colapsado
Minuto 227 | Periférico Metropolitano | Tráfico:  71 veh/min | Variación:  +4 | Estado: Colapsado
Minuto 227 | Carretera Nacional | Tráfico:  81 veh/min | Variación:  +7 | Estado: Colapsado
Minuto 228 | Avenida Central | Tráfico:  74 veh/min | Variación:  -5 | Estado: Colapsado
Minuto 228 | Periférico Metropolitano | Tráfico:  72 veh/min | Variación:  +1 | Estado: Colapsado
Minuto 228 | Carretera Nacional | Tráfico:  74 veh/min | Variación:  -7 | Estado: Colapsado
Minuto 229 | Avenida Central | Tráfico:  69 veh/min | Variación:  -5 | Estado: Colapsado
Minuto 229 | Carretera Nacional | Tráfico:  77 veh/min | Variación:  +3 | Estado: Colapsado
Minuto 229 | Periférico Metropolitano | Tráfico:  72 veh/min | Variación:  +0 | Estado: Colapsado
Minuto 230 | Avenida Central | Tráfico:  69 veh/min | Variación:  +0 | Estado: Colapsado
Minuto 230 | Periférico Metropolitano | Tráfico:  80 veh/min | Variación:  +8 | Estado: Colapsado
Minuto 230 | Carretera Nacional | Tráfico:  82 veh/min | Variación:  +5 | Estado: Colapsado
Minuto 231 | Carretera Nacional | Tráfico:  81 veh/min | Variación:  -1 | Estado: Colapsado
Minuto 231 | Periférico Metropolitano | Tráfico:  77 veh/min | Variación:  -3 | Estado: Colapsado
Minuto 231 | Avenida Central | Tráfico:  73 veh/min | Variación:  +4 | Estado: Colapsado
Minuto 232 | Carretera Nacional | Tráfico:  87 veh/min | Variación:  +6 | Estado: Colapsado
Minuto 232 | Periférico Metropolitano | Tráfico:  70 veh/min | Variación:  -7 | Estado: Colapsado
Minuto 232 | Avenida Central | Tráfico:  69 veh/min | Variación:  -4 | Estado: Colapsado
Minuto 233 | Avenida Central | Tráfico:  76 veh/min | Variación:  +7 | Estado: Colapsado
Minuto 233 | Carretera Nacional | Tráfico:  90 veh/min | Variación:  +3 | Estado: Colapsado
Minuto 233 | Periférico Metropolitano | Tráfico:  78 veh/min | Variación:  +8 | Estado: Colapsado
Minuto 234 | Periférico Metropolitano | Tráfico:  85 veh/min | Variación:  +7 | Estado: Colapsado
Minuto 234 | Carretera Nacional | Tráfico:  87 veh/min | Variación:  -3 | Estado: Colapsado
Minuto 234 | Avenida Central | Tráfico:  72 veh/min | Variación:  -4 | Estado: Colapsado
Minuto 235 | Avenida Central | Tráfico:  67 veh/min | Variación:  -5 | Estado: Colapsado
Minuto 235 | Carretera Nacional | Tráfico:  86 veh/min | Variación:  -1 | Estado: Colapsado
Minuto 235 | Periférico Metropolitano | Tráfico:  89 veh/min | Variación:  +4 | Estado: Colapsado
Minuto 236 | Avenida Central | Tráfico:  67 veh/min | Variación:  +0 | Estado: Colapsado
Minuto 236 | Carretera Nacional | Tráfico:  84 veh/min | Variación:  -2 | Estado: Colapsado
Minuto 236 | Periférico Metropolitano | Tráfico:  88 veh/min | Variación:  -1 | Estado: Colapsado
Minuto 237 | Periférico Metropolitano | Tráfico:  83 veh/min | Variación:  -5 | Estado: Colapsado
Minuto 237 | Carretera Nacional | Tráfico:  82 veh/min | Variación:  -2 | Estado: Colapsado
Minuto 237 | Avenida Central | Tráfico:  64 veh/min | Variación:  -3 | Estado: Colapsado
Minuto 238 | Periférico Metropolitano | Tráfico:  85 veh/min | Variación:  +2 | Estado: Colapsado
Minuto 238 | Carretera Nacional | Tráfico:  75 veh/min | Variación:  -7 | Estado: Colapsado
Minuto 238 | Avenida Central | Tráfico:  61 veh/min | Variación:  -3 | Estado: Colapsado
Minuto 239 | Carretera Nacional | Tráfico:  72 veh/min | Variación:  -3 | Estado: Colapsado
Minuto 239 | Periférico Metropolitano | Tráfico:  92 veh/min | Variación:  +7 | Estado: Colapsado
Minuto 239 | Avenida Central | Tráfico:  66 veh/min | Variación:  +5 | Estado: Colapsado
Minuto 240 | Avenida Central | Tráfico:  66 veh/min | Variación:  +0 | Estado: Colapsado
Minuto 240 | Carretera Nacional | Tráfico:  75 veh/min | Variación:  +3 | Estado: Colapsado
Minuto 240 | Periférico Metropolitano | Tráfico:  87 veh/min | Variación:  -5 | Estado: Colapsado
Minuto 241 | Carretera Nacional | Tráfico:  75 veh/min | Variación:  +0 | Estado: Colapsado
Minuto 241 | Periférico Metropolitano | Tráfico:  85 veh/min | Variación:  -2 | Estado: Colapsado
Minuto 241 | Avenida Central | Tráfico:  67 veh/min | Variación:  +1 | Estado: Colapsado
Minuto 242 | Avenida Central | Tráfico:  59 veh/min | Variación:  -8 | Estado: Congestionado
Minuto 242 | Periférico Metropolitano | Tráfico:  91 veh/min | Variación:  +6 | Estado: Colapsado
Minuto 242 | Carretera Nacional | Tráfico:  67 veh/min | Variación:  -8 | Estado: Colapsado
Minuto 243 | Periférico Metropolitano | Tráfico:  91 veh/min | Variación:  +0 | Estado: Colapsado
Minuto 243 | Carretera Nacional | Tráfico:  72 veh/min | Variación:  +5 | Estado: Colapsado
Minuto 243 | Avenida Central | Tráfico:  67 veh/min | Variación:  +8 | Estado: Colapsado
Minuto 244 | Periférico Metropolitano | Tráfico:  92 veh/min | Variación:  +1 | Estado: Colapsado
Minuto 244 | Avenida Central | Tráfico:  69 veh/min | Variación:  +2 | Estado: Colapsado
Minuto 244 | Carretera Nacional | Tráfico:  65 veh/min | Variación:  -7 | Estado: Colapsado
Minuto 245 | Carretera Nacional | Tráfico:  66 veh/min | Variación:  +1 | Estado: Colapsado
Minuto 245 | Periférico Metropolitano | Tráfico:  89 veh/min | Variación:  -3 | Estado: Colapsado
Minuto 245 | Avenida Central | Tráfico:  72 veh/min | Variación:  +3 | Estado: Colapsado
Minuto 246 | Avenida Central | Tráfico:  78 veh/min | Variación:  +6 | Estado: Colapsado
Minuto 246 | Carretera Nacional | Tráfico:  69 veh/min | Variación:  +3 | Estado: Colapsado
Minuto 246 | Periférico Metropolitano | Tráfico:  88 veh/min | Variación:  -1 | Estado: Colapsado
Minuto 247 | Carretera Nacional | Tráfico:  77 veh/min | Variación:  +8 | Estado: Colapsado
Minuto 247 | Avenida Central | Tráfico:  81 veh/min | Variación:  +3 | Estado: Colapsado
Minuto 247 | Periférico Metropolitano | Tráfico:  96 veh/min | Variación:  +8 | Estado: Colapsado
Minuto 248 | Periférico Metropolitano | Tráfico:  92 veh/min | Variación:  -4 | Estado: Colapsado
Minuto 248 | Avenida Central | Tráfico:  86 veh/min | Variación:  +5 | Estado: Colapsado
Minuto 248 | Carretera Nacional | Tráfico:  72 veh/min | Variación:  -5 | Estado: Colapsado
Minuto 249 | Avenida Central | Tráfico:  83 veh/min | Variación:  -3 | Estado: Colapsado
Minuto 249 | Carretera Nacional | Tráfico:  74 veh/min | Variación:  +2 | Estado: Colapsado
Minuto 249 | Periférico Metropolitano | Tráfico:  84 veh/min | Variación:  -8 | Estado: Colapsado
Minuto 250 | Carretera Nacional | Tráfico:  73 veh/min | Variación:  -1 | Estado: Colapsado
Minuto 250 | Periférico Metropolitano | Tráfico:  78 veh/min | Variación:  -6 | Estado: Colapsado
Minuto 250 | Avenida Central | Tráfico:  83 veh/min | Variación:  +0 | Estado: Colapsado
Minuto 251 | Avenida Central | Tráfico:  89 veh/min | Variación:  +6 | Estado: Colapsado
Minuto 251 | Carretera Nacional | Tráfico:  80 veh/min | Variación:  +7 | Estado: Colapsado
Minuto 251 | Periférico Metropolitano | Tráfico:  71 veh/min | Variación:  -7 | Estado: Colapsado
Minuto 252 | Avenida Central | Tráfico:  89 veh/min | Variación:  +0 | Estado: Colapsado
Minuto 252 | Periférico Metropolitano | Tráfico:  69 veh/min | Variación:  -2 | Estado: Colapsado
Minuto 252 | Carretera Nacional | Tráfico:  73 veh/min | Variación:  -7 | Estado: Colapsado
Minuto 253 | Carretera Nacional | Tráfico:  76 veh/min | Variación:  +3 | Estado: Colapsado
Minuto 253 | Avenida Central | Tráfico:  82 veh/min | Variación:  -7 | Estado: Colapsado
Minuto 253 | Periférico Metropolitano | Tráfico:  76 veh/min | Variación:  +7 | Estado: Colapsado
Minuto 254 | Avenida Central | Tráfico:  76 veh/min | Variación:  -6 | Estado: Colapsado
Minuto 254 | Periférico Metropolitano | Tráfico:  72 veh/min | Variación:  -4 | Estado: Colapsado
Minuto 254 | Carretera Nacional | Tráfico:  72 veh/min | Variación:  -4 | Estado: Colapsado
Minuto 255 | Carretera Nacional | Tráfico:  80 veh/min | Variación:  +8 | Estado: Colapsado
Minuto 255 | Periférico Metropolitano | Tráfico:  75 veh/min | Variación:  +3 | Estado: Colapsado
Minuto 255 | Avenida Central | Tráfico:  74 veh/min | Variación:  -2 | Estado: Colapsado
Minuto 256 | Avenida Central | Tráfico:  69 veh/min | Variación:  -5 | Estado: Colapsado
Minuto 256 | Carretera Nacional | Tráfico:  73 veh/min | Variación:  -7 | Estado: Colapsado
Minuto 256 | Periférico Metropolitano | Tráfico:  74 veh/min | Variación:  -1 | Estado: Colapsado
Minuto 257 | Periférico Metropolitano | Tráfico:  74 veh/min | Variación:  +0 | Estado: Colapsado
Minuto 257 | Avenida Central | Tráfico:  68 veh/min | Variación:  -1 | Estado: Colapsado
Minuto 257 | Carretera Nacional | Tráfico:  80 veh/min | Variación:  +7 | Estado: Colapsado
Minuto 258 | Periférico Metropolitano | Tráfico:  73 veh/min | Variación:  -1 | Estado: Colapsado
Minuto 258 | Carretera Nacional | Tráfico:  86 veh/min | Variación:  +6 | Estado: Colapsado
Minuto 258 | Avenida Central | Tráfico:  75 veh/min | Variación:  +7 | Estado: Colapsado
Minuto 259 | Carretera Nacional | Tráfico:  78 veh/min | Variación:  -8 | Estado: Colapsado
Minuto 259 | Periférico Metropolitano | Tráfico:  81 veh/min | Variación:  +8 | Estado: Colapsado
Minuto 259 | Avenida Central | Tráfico:  76 veh/min | Variación:  +1 | Estado: Colapsado
Minuto 260 | Carretera Nacional | Tráfico:  82 veh/min | Variación:  +4 | Estado: Colapsado
Minuto 260 | Periférico Metropolitano | Tráfico:  86 veh/min | Variación:  +5 | Estado: Colapsado
Minuto 260 | Avenida Central | Tráfico:  70 veh/min | Variación:  -6 | Estado: Colapsado
Minuto 261 | Carretera Nacional | Tráfico:  76 veh/min | Variación:  -6 | Estado: Colapsado
Minuto 261 | Periférico Metropolitano | Tráfico:  91 veh/min | Variación:  +5 | Estado: Colapsado
Minuto 261 | Avenida Central | Tráfico:  76 veh/min | Variación:  +6 | Estado: Colapsado
Minuto 262 | Carretera Nacional | Tráfico:  70 veh/min | Variación:  -6 | Estado: Colapsado
Minuto 262 | Periférico Metropolitano | Tráfico:  91 veh/min | Variación:  +0 | Estado: Colapsado
Minuto 262 | Avenida Central | Tráfico:  72 veh/min | Variación:  -4 | Estado: Colapsado
Minuto 263 | Periférico Metropolitano | Tráfico:  96 veh/min | Variación:  +5 | Estado: Colapsado
Minuto 263 | Carretera Nacional | Tráfico:  77 veh/min | Variación:  +7 | Estado: Colapsado
Minuto 263 | Avenida Central | Tráfico:  65 veh/min | Variación:  -7 | Estado: Colapsado
Minuto 264 | Carretera Nacional | Tráfico:  70 veh/min | Variación:  -7 | Estado: Colapsado
Minuto 264 | Periférico Metropolitano | Tráfico:  89 veh/min | Variación:  -7 | Estado: Colapsado
Minuto 264 | Avenida Central | Tráfico:  64 veh/min | Variación:  -1 | Estado: Colapsado
Minuto 265 | Carretera Nacional | Tráfico:  74 veh/min | Variación:  +4 | Estado: Colapsado
Minuto 265 | Avenida Central | Tráfico:  71 veh/min | Variación:  +7 | Estado: Colapsado
Minuto 265 | Periférico Metropolitano | Tráfico:  85 veh/min | Variación:  -4 | Estado: Colapsado
Minuto 266 | Carretera Nacional | Tráfico:  73 veh/min | Variación:  -1 | Estado: Colapsado
Minuto 266 | Periférico Metropolitano | Tráfico:  89 veh/min | Variación:  +4 | Estado: Colapsado
Minuto 266 | Avenida Central | Tráfico:  75 veh/min | Variación:  +4 | Estado: Colapsado
Minuto 267 | Periférico Metropolitano | Tráfico:  86 veh/min | Variación:  -3 | Estado: Colapsado
Minuto 267 | Carretera Nacional | Tráfico:  77 veh/min | Variación:  +4 | Estado: Colapsado
Minuto 267 | Avenida Central | Tráfico:  81 veh/min | Variación:  +6 | Estado: Colapsado
Minuto 268 | Periférico Metropolitano | Tráfico:  90 veh/min | Variación:  +4 | Estado: Colapsado
Minuto 268 | Carretera Nacional | Tráfico:  77 veh/min | Variación:  +0 | Estado: Colapsado
Minuto 268 | Avenida Central | Tráfico:  79 veh/min | Variación:  -2 | Estado: Colapsado
Minuto 269 | Carretera Nacional | Tráfico:  76 veh/min | Variación:  -1 | Estado: Colapsado
Minuto 269 | Periférico Metropolitano | Tráfico:  84 veh/min | Variación:  -6 | Estado: Colapsado
Minuto 269 | Avenida Central | Tráfico:  83 veh/min | Variación:  +4 | Estado: Colapsado
Minuto 270 | Avenida Central | Tráfico:  75 veh/min | Variación:  -8 | Estado: Colapsado
Minuto 270 | Carretera Nacional | Tráfico:  79 veh/min | Variación:  +3 | Estado: Colapsado
Minuto 270 | Periférico Metropolitano | Tráfico:  81 veh/min | Variación:  -3 | Estado: Colapsado
Minuto 271 | Periférico Metropolitano | Tráfico:  89 veh/min | Variación:  +8 | Estado: Colapsado
Minuto 271 | Carretera Nacional | Tráfico:  76 veh/min | Variación:  -3 | Estado: Colapsado
Minuto 271 | Avenida Central | Tráfico:  76 veh/min | Variación:  +1 | Estado: Colapsado
Minuto 272 | Periférico Metropolitano | Tráfico:  90 veh/min | Variación:  +1 | Estado: Colapsado
Minuto 272 | Avenida Central | Tráfico:  70 veh/min | Variación:  -6 | Estado: Colapsado
Minuto 272 | Carretera Nacional | Tráfico:  84 veh/min | Variación:  +8 | Estado: Colapsado
Minuto 273 | Avenida Central | Tráfico:  63 veh/min | Variación:  -7 | Estado: Colapsado
Minuto 273 | Carretera Nacional | Tráfico:  90 veh/min | Variación:  +6 | Estado: Colapsado
Minuto 273 | Periférico Metropolitano | Tráfico:  88 veh/min | Variación:  -2 | Estado: Colapsado
Minuto 274 | Periférico Metropolitano | Tráfico:  91 veh/min | Variación:  +3 | Estado: Colapsado
Minuto 274 | Carretera Nacional | Tráfico:  87 veh/min | Variación:  -3 | Estado: Colapsado
Minuto 274 | Avenida Central | Tráfico:  66 veh/min | Variación:  +3 | Estado: Colapsado
Minuto 275 | Carretera Nacional | Tráfico:  95 veh/min | Variación:  +8 | Estado: Colapsado
Minuto 275 | Avenida Central | Tráfico:  68 veh/min | Variación:  +2 | Estado: Colapsado
Minuto 275 | Periférico Metropolitano | Tráfico:  85 veh/min | Variación:  -6 | Estado: Colapsado
Minuto 276 | Avenida Central | Tráfico:  76 veh/min | Variación:  +8 | Estado: Colapsado
Minuto 276 | Periférico Metropolitano | Tráfico:  78 veh/min | Variación:  -7 | Estado: Colapsado
Minuto 276 | Carretera Nacional | Tráfico:  89 veh/min | Variación:  -6 | Estado: Colapsado
Minuto 277 | Carretera Nacional | Tráfico:  88 veh/min | Variación:  -1 | Estado: Colapsado
Minuto 277 | Avenida Central | Tráfico:  84 veh/min | Variación:  +8 | Estado: Colapsado
Minuto 277 | Periférico Metropolitano | Tráfico:  85 veh/min | Variación:  +7 | Estado: Colapsado
Minuto 278 | Carretera Nacional | Tráfico:  80 veh/min | Variación:  -8 | Estado: Colapsado
Minuto 278 | Avenida Central | Tráfico:  85 veh/min | Variación:  +1 | Estado: Colapsado
Minuto 278 | Periférico Metropolitano | Tráfico:  85 veh/min | Variación:  +0 | Estado: Colapsado
Minuto 279 | Carretera Nacional | Tráfico:  85 veh/min | Variación:  +5 | Estado: Colapsado
Minuto 279 | Periférico Metropolitano | Tráfico:  89 veh/min | Variación:  +4 | Estado: Colapsado
Minuto 279 | Avenida Central | Tráfico:  87 veh/min | Variación:  +2 | Estado: Colapsado
